id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0092,1,2017-07-24,2017,7,24,22:16:01,22,Au 25 De Mayo Y Au Frondizi (9 De Julio Sur),Autopista,AUTOPISTA 25 DE MAYO,0,Autopista 1 Sur Presidente Arturo Frondizi,Autopista 25 De Mayo Y Autopista 1 Sur Presidente Arturo Frondizi,1,Point (107392.50226602 100712.59265582),-58.38268809,-34.62282019,Peaton,Auto
2017-0093,1,2017-07-25,2017,7,25,16:48:40,16,"Av. Leopoldo Lugones Km 7,5, Altura Puente Scalabrini Ortiz, Sentido A Centro Porteño",Autopista,"LUGONES, LEOPOLDO AV.",0,Puente Distribuidor Scalabrini Ortiz,"Lugones, Leopoldo Av. Y Puente Distribuidor Scalabrini Ortiz",13,Point (102474.90818824 108830.74789029),-58.43633522,-34.54966288,Peaton,Auto
2017-0094,1,2017-07-27,2017,7,27,08:50:00,8,Victor Hugo 2639,Calle,"HUGO, VICTOR",2639,Nan,"Hugo, Victor 2639",10,Point (94212.26181299 101286.25735606),-58.52640838,-34.61765855,Bicicleta,Cargas
2017-0095,1,2017-08-06,2017,8,6,08:00:00,8,Av. Cordoba Y Jeronimo Salguero,Avenida,CORDOBA AV.,0,"Salguero, Jeronimo","Cordoba Av. Y Salguero, Jeronimo",14,Point (104068.94257873 103491.45652529),-58.41894306,-34.59778875,Moto,Auto
2017-0096,1,2017-08-07,2017,8,7,19:50:00,19,Av. Cabildo Y Nuñez,Avenida,CABILDO AV.,0,Nu?Ez,Cabildo Av. Y Nuã‘Ez,13,Point (99608.90354249 108823.89449537),-58.46756026,-34.54972741,Peaton,Pasajeros
2017-0098,1,2017-08-08,2017,8,8,12:10:00,12,Jose Bonifacio 2114,Calle,"BONIFACIO, JOSE",2114,Nan,"Bonifacio, Jose 2114",7,Point (100563.22594607 99771.56223988),-58.45715752,-34.63132912,Peaton,Auto
2017-0099,1,2017-08-17,2017,8,17,19:45:00,19,Av. Pte Figueroa Alcorta 5400,Avenida,"FIGUEROA ALCORTA, PRES. AV.",5400,Nan,"Figueroa Alcorta, Pres. Av. 5400",14,Point (103600.34605991 107446.36084135),-58.42406784,-34.56213916,Bicicleta,Auto
2017-0100,1,2017-08-21,2017,8,21,07:45:00,7,Venezuela 2135,Calle,REPUBLICA BOLIVARIANA DE VENEZUELA,2135,Nan,Republica Bolivariana De Venezuela 2135,3,Point (106103.99852157 101567.67895783),-58.39674470,-34.61512051,Moto,Objeto Fijo
2017-0101,1,2017-08-23,2017,8,23,10:00:00,10,Av. Fco. Lacroze Y Zapata,Avenida,"LACROZE, FEDERICO AV.",0,Zapata,"Lacroze, Federico Av. Y Zapata",13,Point (101644.77699748 106480.78805418),-58.44537508,-34.57084818,Peaton,Multiple
2017-0102,1,2017-08-24,2017,8,24,01:10:00,1,Iriarte Y Zavaleta,Avenida,"IRIARTE, GRAL. AV.",0,Zavaleta,"Iriarte, Gral. Av. Y Zavaleta",4,Point (105750.92237188 97579.79677541),-58.40056767,-34.65107080,Peaton,Cargas
2017-0104,1,2017-08-25,2017,8,25,09:00:00,9,Av. 9 De Julio Y Estados Unidos,Avenida,9 DE JULIO AV.,0,Estados Unidos,9 De Julio Av. Y Estados Unidos,1,Point (107538.91933237 101188.13128502),-58.38109568,-34.61853244,Peaton,Cargas
2017-0106,1,2017-08-31,2017,8,31,19:50:00,19,Fray Justo Santamaria De Oro Y Guemes,Calle,FRAY JUSTO SANTAMARIA DE ORO,0,Guemes,Fray Justo Santamaria De Oro Y Guemes,14,Point (103483.20578848 105425.94020024),-58.42533612,-34.58035258,Peaton,Pasajeros
2017-0107,1,2017-09-01,2017,9,1,11:30:00,11,Av. Del Libertador Y Jaramillo,Avenida,DEL LIBERTADOR AV.,0,Jaramillo,Del Libertador Av. Y Jaramillo,13,Point (100245.64635241 109464.60244956),-58.46062311,-34.54395182,Moto,Cargas
2017-0108,2,2017-09-02,2017,9,2,04:53:08,4,Av. Gral. Paz Y Machain,Avenida,"PAZ, GRAL. AV.",0,Machain,"Paz, Gral. Av. Y Machain",12,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,Otro,Auto
